Security,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
ARVCF US Equity,#N/A N/A,#N/A N/A,57279.54656,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,139.0014829
S CN Equity,27253.10661,16393.56528,17628.66946,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEE US Equity,4715.08498,4902.624033,4421.000658,4695.342607,5082.835022,5660.9284,9526.345058,9036.476315,8780.924735,8810.329253,8687.868749
PPL US Equity,3846.756583,3913.737023,4018.145589,3908.384456,5603.667855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TK US Equity,3091.322061,2688.200786,2043.628503,1761.27234,2257.517884,2779.515706,417.5142013,2650.362123,2588.200132,#N/A N/A,#N/A N/A
GSM US Equity,2518.643151,2937.199722,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AY US Equity,1873.882712,1831.64895,1609.379315,1983.256671,2005.202775,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TROX US Equity,1649.257834,1707.891637,4507.257448,2698.863636,2187.679908,1912.07076,2027.232474,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VRS US Equity,1118.568233,1170.255993,1063.990913,#N/A N/A,2969.274564,1166.391509,1146.064185,1201.749329,1202.255506,1308.002181,#N/A N/A
CVIA US Equity,879.3084136,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
UAL US Equity,810.2680193,864.4161446,868.2186128,837.9912111,810.9920154,827.2760726,871.9826763,887.9628343,1425.118904,1164.40769,1067.613887
SRE US Equity,641.6551178,477.112519,482.3725818,829.8309061,634.1640236,745.287487,836.3221727,839.6771622,1136.17683,1295.830249,1626.696412
EDV CN Equity,485.8668956,643.797938,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EXC US Equity,434.8768692,497.8562496,536.7444835,535.1988318,849.6481826,1003.174221,1194.34629,636.9406704,703.7116499,717.4038573,477.2257278
LXFR US Equity,324.203732,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TSE US Equity,229.9472181,254.4906814,307.0010224,264.3569756,201.6395991,193.5028999,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CSTM US Equity,210.5170594,231.6211572,256.1669829,230.15719,205.400982,212.5894134,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
