Security,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
ARVCF US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000249811,4.74E-05,5.34E-05,0.000101448,0.000200808,0.000219325,5.99E-05
S CN Equity,0.071378026,0.031878039,#N/A N/A,0.027540936,0.026253293,0.025342252,0.004918999,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEE US Equity,0.002607376,0.002585212,0.003402765,0.002597327,0.002988749,#N/A N/A,0.005255146,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
PPL US Equity,0.002225947,0.002109574,0.002445124,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TK US Equity,0.061287958,0.054089385,0.042803583,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.05073698,0.047095245,0.043277107,0.028487885
GSM US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AY US Equity,0.000349378,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TROX US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VRS US Equity,0.003005966,0.003382771,0.00317039,#N/A N/A,0.009287274,0.002049105,0.00226229,0.001914671,0.002028884,0.002263285,#N/A N/A
CVIA US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
UAL US Equity,0.000323311,0.000361923,0.000443741,0.000347005,0.000334876,0.000378092,0.000412414,0.000427513,0.000724888,0.000753474,0.000665742
SRE US Equity,2.74E-05,1.25E-05,2.09E-05,3.15E-05,3.20E-05,4.40E-05,5.12E-05,4.76E-05,6.05E-05,7.06E-05,5.77E-05
EDV CN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EXC US Equity,5.30E-05,5.40E-05,7.83E-05,7.70E-05,0.000497153,0.000544258,0.000866942,0.000472119,0.000521737,0.00051969,0.000636301
LXFR US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TSE US Equity,4.23E-05,4.44E-05,#N/A N/A,#N/A N/A,4.49E-05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CSTM US Equity,0.000152128,0.000172618,0.000223361,0.000190103,0.000148172,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEM CN Equity,0.004056642,0.004046635,0.004109938,0.004573816,0.003841802,0.00443785,0.001150849,0.000132836,#N/A N/A,#N/A N/A,#N/A N/A
PXT CN Equity,#N/A N/A,#N/A N/A,0.002893776,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NKSJF US Equity,#N/A N/A,#N/A N/A,6.44E-05,6.76E-05,6.96E-05,6.40E-05,5.98E-05,7.51E-05,7.73E-05,#N/A N/A,#N/A N/A
CNE CN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
MTN US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VEON US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BPYU US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
WMK US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
PG US Equity,3.74E-05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SHLDQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
