Security,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
VEON US Equity,-32.53008,7.610213,18.61547,-20.68171,-67.54101,40.44366,19.17054,-32.93219,#N/A N/A,#N/A N/A,#N/A N/A
UAL US Equity,24.22849,-7.51921,27.19023,-14.33697,76.81734,61.80496,23.90037,-20.78086,84.50813,17.15063,-66.82008
MTN US Equity,34.21773,50.40141,33.48047,48.41306,14.68066,36.76524,10.18222,21.17066,32.40126,-29.14809,-24.59384
SHLDQ US Equity,-76.68085,-65.84303,-60.52782,-41.77148,16.43617,-25.90957,18.79043,-44.52279,-11.76154,133.4925,-63.25362
ASNA US Equity,67.84969,-67.32606,-39.32119,-23.80952,-15.16854,6.556442,11.47124,30.74366,49.7822,0.7523511,-7.96307
LOW US Equity,-6.344018,45.98626,3.800222,7.376134,48.79284,23.13659,45.19783,10.62888,16.68894,20.51573,-29.71263
TUP US Equity,-46.71158,23.58297,-1.214135,-7.502271,-30.43069,55.98692,12.35331,21.15674,4.01852,138.4535,-35.70402
BURL US Equity,41.51503,47.37289,52.21648,8.518742,95.03519,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KSS US Equity,6.044955,73.87983,-15.93388,-15.18205,21.27845,13.07013,3.779572,-9.413563,0.7855459,38.7088,-20.07403
LZB US Equity,6.349666,7.446301,-0.7968054,11.40333,39.94141,15.89866,37.08669,-20.07143,498.2906,-65.5275,-39.82872
TJX US Equity,24.10016,9.02533,4.789602,10.79351,16.26805,27.95322,34.11423,44.34512,26.17338,101.3992,-38.67435
VFC US Equity,39.66414,-13.94351,-11.78767,24.60401,49.14811,14.64563,54.91928,25.75726,30.26406,-15.43219,-3.613227
WPRT CN Equity,-61.73362,211.1842,-45.32374,-36.67426,-78.88408,-21.01064,-22.061,84.0327,50.04088,95.68,-37.34336
GES US Equity,35.62016,21.95931,-26.4778,5.862146,-32.5201,5.700454,-4.855289,-26.28899,7.963626,167.2242,-56.52612
DOO CN Equity,-25.093,94.56192,69.39433,-29.13242,-21.81364,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
PVH US Equity,-23.46638,67.23917,17.07324,-30.90558,-7.19426,0.7588828,49.28067,27.17733,59.54874,97.99452,-50.57282
BBY US Equity,-15.75131,64.8083,63.83324,-15.89149,52.08025,49.44838,-31.09396,-28.2903,-5.516477,38.72709,-42.83452
TIF US Equity,-15.07185,38.34032,26.41471,-24.89344,5.711867,28.69449,5.191056,11.62044,45.94056,100.2573,-46.84766
WMK US Equity,18.55281,-36.58542,54.74397,-4.799047,-6.575153,37.77579,0.8286052,4.575487,14.55152,11.83408,-12.8841
PG US Equity,-7.39613,6.045992,9.732813,3.602995,4.586955,32.42972,-1.646614,11.63625,19.77432,-16.09126,3.730035
BF/B US Equity,52.67159,-0.2965505,8.182375,1.891124,29.15828,31.92541,22.32467,27.7937,28.15516,-12.58002,8.382792
KR US Equity,-5.336292,-7.971263,-15.51994,17.43321,94.06188,31.70887,19.5231,11.91326,2.732429,-2.883628,-12.29792
TGT US Equity,-1.79918,22.71426,-9.766654,1.770416,34.12671,-5.152039,21.64091,-3.862846,8.648471,66.49371,-44.5577
CCEP US Equity,18.57594,30.00363,-10.43137,13.99424,2.393149,42.03243,25.8696,4.984708,74.29481,79.53302,-52.91267
WBA US Equity,-13.85528,2.845322,-5.030296,45.47786,28.42953,38.06896,4.491727,33.53825,-19.25115,-5.407636,-18.29381
EL US Equity,50.43834,6.14169,6.286661,19.70187,10.86309,25.5245,5.127014,84.90714,78.98425,-26.18713,-0.3813329
PXT CN Equity,-9.96696,7.455621,66.33858,34.03694,15.19757,13.44828,-16.78623,-19.42196,110.9756,#N/A N/A,#N/A N/A
CNE CN Equity,-10.02227,-1.965065,65.34296,11.69355,-65.21739,123.511,-58.57143,-50.95541,141.5385,983.3333,-91.17647
BPYU US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
POW CN Equity,-20.08789,12.81315,8.685159,-5.147602,3.210392,31.0183,11.73741,-9.871718,-1.251685,36.76682,-41.96696
BAX US Equity,2.892488,47.28707,17.58046,-2.099385,8.404123,7.278998,38.42433,0.05420984,-11.55937,11.76384,-6.242064
MDT US Equity,0.3527629,6.573625,3.52599,35.71803,28.09618,28.0266,-7.638678,-4.073757,52.0911,-38.9468,-7.717206
ARVCF US Equity,#N/A N/A,#N/A N/A,-19.89619,-45.21327,-59.79421,51.85185,-29.52692,-50.2132,-1.471608,8.3291,-56.12095
TK US Equity,-63.12268,18.88717,-16.28261,-79.76023,8.448768,54.68201,25.26132,-15.80702,49.47741,26.83591,-61.74212
LXFR US Equity,14.95996,51.27769,15.95993,-31.96976,-26.86556,74.3951,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NPO US Equity,-34.86435,40.52574,55.97372,-29.11693,8.863833,40.95354,24.01455,-20.64485,57.36464,22.6091,-29.72268
CAE CN Equity,23.20477,37.99365,3.111635,0.8100815,52.80378,-4.076458,-16.91574,29.12483,30.50698,-33.61127,-11.12234
FLR US Equity,-36.60751,0.1424333,13.07184,-20.84208,-23.59658,38.0095,18.31746,-23.55158,48.65187,1.565854,-37.94147
J US Equity,32.58625,15.91064,35.84047,-24.79871,-14.03357,41.43417,17.27899,-7.635207,-16.47476,-17.95058,-28.31466
S CN Equity,-73.83721,29.32331,82.19178,-75.43916,-17.99883,-32.86364,8.408037,-33.79264,31.41301,113.8759,-75.69888
GSM US Equity,-90.0544,49.58449,4.483604,-36.17272,-2.826928,33.43304,4.467714,-20.71233,83.56342,#N/A N/A,#N/A N/A
TROX US Equity,-61.62296,100.7772,181.154,-81.84435,7.778831,32.30008,-15.06983,30.43478,#N/A N/A,#N/A N/A,#N/A N/A
VRS US Equity,27.49004,147.4648,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CVIA US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EDV CN Equity,-12.83652,27.7667,162.9096,79.52941,-11.45833,-76.81159,-14.81481,-13.52313,58.75706,5.085048,-79.35488
TSE US Equity,-35.65604,24.88091,112.9056,61.60458,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CSTM US Equity,-37.30942,88.98305,-23.37662,-53.13451,-29.39407,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEM CN Equity,-3.955899,3.739108,56.52811,27.18818,4.253651,-44.7238,43.32345,-51.0993,34.99145,-8.989331,15.62663
NKSJF US Equity,#N/A N/A,#N/A N/A,#N/A N/A,-66.60601,#N/A N/A,1.521438,-35.44643,#N/A N/A,47.74194,-16.66667,-76.75
DXC US Equity,48.57338,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FLEX US Equity,-1.618705,36.49754,-2.396166,32.90871,41.44144,-8.767123,0.6896552,-7.170294,134.5345,-65.59917,-11.59817
CLS CN Equity,-9.256449,-17.15902,3.986928,12.08791,23.6413,36.80297,7.743658,-22.38342,-3.11245,76.28319,-2.417962
TRI CN Equity,24.16316,-3.831991,16.00843,15.61437,21.00782,44.99805,10.62939,-24.17256,13.24195,-0.8612913,-8.422965
XRX US Equity,-29.38655,30.97411,-15.23759,-21.31135,16.17505,82.6541,-12.34893,-29.55284,38.49065,8.851353,-50.01428
NLOK US Equity,-15.25923,69.90104,0.5533109,21.00527,-17.70063,34.13044,1.043383,7.433628,13.37793,-11.11772,-3.610315
CSCO US Equity,39.19272,6.261642,12.85347,11.89181,5.038846,67.40665,1.568893,-32.17055,6.684982,-2.630406,-22.57474
XLNX US Equity,27.44096,24.11246,15.29084,-18.55114,44.33368,7.371842,13.7334,30.52726,37.3749,-14.31559,-8.508322
GLOB US Equity,21.22256,39.31034,-11.09038,140.1408,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DELL US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ICFI US Equity,24.40422,-4.891304,55.23059,-13.22596,18.06396,48.0802,-5.407587,-3.654743,-4.029851,9.076109,-2.731591
AEE US Equity,13.97549,15.95816,25.6635,-2.366613,32.72541,23.30895,-2.528128,23.91894,6.872346,-10.39939,-34.5856
PPL US Equity,-3.06448,-5.199339,4.101599,6.202188,26.16986,10.33644,2.34126,17.58105,-14.16185,10.34401,-39.09941
AY US Equity,-1.183326,15.14719,2.77178,-24.80676,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SRE US Equity,4.462726,9.41662,10.14956,-13.16658,27.26471,30.34677,33.83467,8.74037,-3.364157,35.56784,-29.18192
EXC US Equity,18.32774,15.04764,32.80835,-22.16834,40.6104,-3.47827,-27.3566,9.415835,-10.44385,-8.395864,-29.85942
