Security,Sector
VEON US Equity,Communications
UAL US Equity,Consumer Discretionary
MTN US Equity,Consumer Discretionary
SHLDQ US Equity,Consumer Discretionary
ASNA US Equity,Consumer Discretionary
LOW US Equity,Consumer Discretionary
TUP US Equity,Consumer Discretionary
BURL US Equity,Consumer Discretionary
KSS US Equity,Consumer Discretionary
LZB US Equity,Consumer Discretionary
TJX US Equity,Consumer Discretionary
VFC US Equity,Consumer Discretionary
WPRT CN Equity,Consumer Discretionary
GES US Equity,Consumer Discretionary
DOO CN Equity,Consumer Discretionary
PVH US Equity,Consumer Discretionary
BBY US Equity,Consumer Discretionary
TIF US Equity,Consumer Discretionary
WMK US Equity,Consumer Staples
PG US Equity,Consumer Staples
BF/B US Equity,Consumer Staples
KR US Equity,Consumer Staples
TGT US Equity,Consumer Staples
CCEP US Equity,Consumer Staples
WBA US Equity,Consumer Staples
EL US Equity,Consumer Staples
PXT CN Equity,Energy
CNE CN Equity,Energy
BPYU US Equity,Financials
POW CN Equity,Financials
BAX US Equity,Health Care
MDT US Equity,Health Care
ARVCF US Equity,Industrials
TK US Equity,Industrials
LXFR US Equity,Industrials
NPO US Equity,Industrials
CAE CN Equity,Industrials
FLR US Equity,Industrials
J US Equity,Industrials
S CN Equity,Materials
GSM US Equity,Materials
TROX US Equity,Materials
VRS US Equity,Materials
CVIA US Equity,Materials
EDV CN Equity,Materials
TSE US Equity,Materials
CSTM US Equity,Materials
AEM CN Equity,Materials
NKSJF US Equity,Materials
DXC US Equity,Technology
FLEX US Equity,Technology
CLS CN Equity,Technology
TRI CN Equity,Technology
XRX US Equity,Technology
NLOK US Equity,Technology
CSCO US Equity,Technology
XLNX US Equity,Technology
GLOB US Equity,Technology
DELL US Equity,Technology
ICFI US Equity,Technology
AEE US Equity,Utilities
PPL US Equity,Utilities
AY US Equity,Utilities
SRE US Equity,Utilities
EXC US Equity,Utilities
