Security,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
ARVCF US Equity,#N/A N/A,#N/A N/A,1181818.182,378787.8788,3079.23723,1857.742877,2546.157607,3490.38036,4225.489168,4534.349897,4825.742429
S CN Equity,367638.3155,212903.4851,186479.2223,105983.9238,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEE US Equity,9522397.075,11373890.51,680098.7492,719142.3418,709981.8272,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
PPL US Equity,124254.5922,130313.012,71469.8683,113863.4763,264950.3311,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TK US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GSM US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AY US Equity,221302.0994,225311.663,231221.1295,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TROX US Equity,31500.82463,37750.29446,54545.45455,32196.9697,36211.85953,36108.2206,38864.62882,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VRS US Equity,67818.79195,71798.45591,73690.64748,#N/A N/A,174241.6588,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CVIA US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
UAL US Equity,48.75989768,52.90043508,46.91076691,34.33208196,34.57725935,32.13824736,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SRE US Equity,10492.57573,9778.977425,8141.441311,10323.33105,10771.81695,11438.85574,12046.9576,11089.67716,14885.03832,2428.448063,#N/A N/A
EDV CN Equity,34374.70598,12735.76788,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EXC US Equity,1997701.262,904757.9349,1074912.056,884877.9163,963319.844,819181.9351,1025003.193,1592666.422,1087438.318,1365619.587,1254032.557
LXFR US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TSE US Equity,180.5831937,192.8913469,228.1655276,260.3286788,221.8113479,211.4023892,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CSTM US Equity,5364.052058,5518.42658,6261.859583,5841.25752,6764.866339,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AEM CN Equity,9221.661904,11226.72554,9242.448902,10097.75222,10614.85728,10909.1395,8042.857481,10071.14375,13961.55108,17113.14873,#N/A N/A
PXT CN Equity,152.052213,214.871354,241.8549048,209.4246448,191.7577814,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NKSJF US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE CN Equity,70.53994204,264.4215499,341.2217511,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
